Name,Year,Yearly Salary,ATT,RUSH YDS,AVG RUSH YDS,LG RUSH,RUSH 20 CNT,RUSH TD,REC,TGT,REC YDS,AVG REC YDS,REC TD,TTL SNAP CNT,Injured
Eno Benjamin,2021,805679,34,118,3.5,21,1,1,6,7,42,7,0,92,1
Ezekiel Elliott,2021,6820000,237,1002,4.2,47,5,10,47,65,287,6.1,2,809,0
Gary Brightwell,2021,677496,1,4,4,4,0,0,1,1,6,6,0,12,1
Giovani Bernard,2021,987500,8,58,7.3,24,1,0,23,29,123,5.3,3,138,1
Godwin Igwebuike,2021,780000,18,118,6.6,42,3,1,7,10,60,8.6,0,98,0
Ito Smith,2021,70000,1,4,4,4,0,1,0,0,0,0,0,5,0
J.D. McKissic,2021,1660000,48,212,4.4,15,0,2,43,53,397,9.2,2,343,1
J.J. Taylor,2021,780000,19,37,1.9,15,0,2,4,4,8,2,0,52,0
Jacques Patrick,2021,9200,2,12,6,8,0,0,0,0,0,0,0,6,0
Jake Funk,2021,578168,2,5,2.5,6,0,0,0,0,0,0,0,19,0
Jalen Richard,2021,2440000,9,40,4.4,23,1,0,12,14,72,6,0,103,1
Jamaal Williams,2021,1625000,153,601,3.9,20,1,3,26,28,157,6,0,317,1
James Conner,2021,1750000,202,752,3.7,35,4,15,37,39,375,10.1,3,598,1
James Robinson,2021,781666,164,767,4.7,58,7,8,31,46,222,7.2,0,530,0
James White,2021,1212500,10,38,3.8,10,0,1,12,14,94,7.8,0,63,1
JaMycal Hasty,2021,704445,16,68,4.3,21,1,1,23,29,157,6.8,0,41,1
JaQuan Hardy,2021,220534,4,29,7.3,22,1,1,0,0,0,0,0,8,0
Jaret Patterson,2021,671666,68,266,3.9,13,0,2,10,12,73,7.3,0,150,0
Jason Huntley,2021,8333,13,51,3.9,18,0,0,0,1,0,0,0,31,0
Javonte Williams,2021,1611955,203,903,4.4,49,11,4,43,53,316,7.3,3,551,0
Jaylen Samuels,2021,265333,5,9,1.8,3,0,0,3,4,14,4.7,0,18,0
